Status,ID,HyfI Monitor Main Page Name,Elevation Site Name,Depth Site Name,Excel Site Name,District Recomended Site Name,Site Code,Action Stage (FT),Minor Stage (FT),Moderate Stage (FT),Major Stage (FT),Comments,Datum (MSL),Action Stage (MSL),Minor Stage (MSL),Moderate Stage (MSL),Major Stage (MSL)
INSTALLED,86HWC6M4+3XHQ,Puritas Basin; WB00384,Puritas Basin; WB00384,Puritas Basin; WB00384,Puritas Basin (WB00384),Big Creek West Branch @ Puritas Basin; Basin; WB00384; WBCL05,86HWC6M4+3XHQ,7.8,8.8,9.8,12.8,Action: 1-ft below emergency spillway activation; Minor: Emergency spillway activation; Moderate: 1-ft above emergeny spillway; Major: Embankment overtopped.,758.2,766,767,768,771
INSTALLED,86HWC59J+G898,Engle Road & Brookpark Rd Outlet,Engle Road & Brookpark Rd Outlet,Engle Road & Brookpark Rd Outlet,Engle Road & Brookpark Rd Outlet,Big Creek Kolleda Ditch @ Engle Road & Brookpark Rd; Outlet; LSS; NA,86HWC59J+G898,9.43,#N/A,13.43,14.43,Action: Downstream crossing surcharges: Moderate: Brookpark Rd floods & non-res building floods Major: Several  non-res buildings flood,772.57,782,#N/A,786,787
INSTALLED,86HWC58W+M5WQ,Automotive Lot; WB00173,Automotive Lot; WB00173,Automotive Lot; WB00173,Upstream face of WB00173,Big Creek Kolleda Ditch @ Brookpark Road Inlet; Culverted Stream ; WB00173; WBBP03,86HWC58W+M5WQ,11.69,#N/A,13.69,15.69,Action: Culverted Stream surcharged; Moderate: non-res buildgs flood; Major: Several non-res bldgs flood,768.31,780,#N/A,782,784
INSTALLED,86HWC55M+9HGP,Kolleda Ditch; SW-CD-LM,Kolleda Ditch; SW-CD-LM,Kolleda Ditch; SW-CD-LM,Kolleda Ditch (WB00176),Big Creek Kolleda Ditch @ Upstream Terminus near Hummel Rd; Stream; WB00176; WBBP02,86HWC55M+9HGP,10.02,#N/A,#N/A,#N/A,Action: Culverted Stream Outfall submerged,769.98,780,#N/A,#N/A,#N/A
INSTALLED,86HWC55X+32VJ,Hummel Road; WB00187,Hummel Road; WB00187,Hummel Road; WB00187,Hummel Road (WB00187),Big Creek Kolleda Ditch @ Brookgate Shopping Center near Hummel Rd; Crossing; WB00187; WBBP02,86HWC55X+32VJ,8.72,9.72,11.72,12.72,Action: 1-ft below Hummel Road and Shopping Center pkg lot; Minor: Hummel Road floods; Moderate: Commercial bldg (WB00191_B101) floods; Major: Several Commercial Buildings & parking lots flood,776.28,785,786,788,789
INSTALLED,86HW9757+QWM5,Ridge Road; BC00354,Ridge Road; BC00354,Ridge Road; BC00354,Upstream face of Ridge Road (BC00354),Big Creek Main Branch @ Upstream face of Ridge Road; Crossing; BC00354; BCPA03,86HW9757+QWM5,11.25,#N/A,13.25,17.25,Action: Floodplain Activation; Moderate: Ridge Road floods; Major: Several Homes flood,944.75,956,#N/A,958,962
INSTALLED,86HW87WJ+QCV5,Oakridge Dr; BC00368,Oakridge Dr; BC00368,Oakridge Dr; BC00368,Oakridge Drive (BC00368),Big Creek Main Branch @ Oakridge Drive; Crossing; BC00368; BCPA03,86HW87WJ+QCV5,5.52,6.52,7.52,11.52,Action: Crossing Surcharges; Minor: Oarkridge Dr floods; Moderate:  Home floods; Major: Several homes flood,1076.48,1082,1083,1084,1088
INSTALLED,86HW87WJ+HRX6,Upstream of Culverted Stream; BC00039, Upstream of Culverted Stream; BC00039, Upstream of Culverted Stream; BC00039,Upstream of Culverted Stream (BC00039),Big Creek Main Branch @ Culverted Stream Inlet between Oakridge and Bunker; Culverted Stream; BC00039; BCPA03,86HW87WJ+HRX6,4.25,#N/A,5.75,6.75,Action: floodplain activation; Minor: Oarkridge Dr floods; Moderate:  Home floods; Major: Several homes flood,1082.25,1086.5,#N/A,1088,1089
INSTALLED,86HW87WM+48QV, Bunker Rd,Upstream of local sewer south of Bunker Road,Upstream of local sewer south of Bunker Road,Upstream of local sewer south of Bunker Road,Big Creek Main Branch @ South of Bunker Road; Crossing; LSS; BCPA03,86HW87WM+48QV,4.99,7.99,8.99,14.99,Action: Crossing surcharges; Minor: Bunker Road floods; Moderate:  homes begin to flood; Major: several homes flood,1089.01,1094,1097,1098,1104
INSTALLED,86HWC7GM+HXR8, Oak Park Avenue; ST00212, Oak Park Avenue; ST00212, Oak Park Avenue; ST00212,Oak Park Avenue (ST00212),Stickney Creek @ Oak Park Avenue; Culverted Stream; ST00212; STPA01,86HWC7GM+HXR8,8.14,9.14,10.14,11.14,Action: 1-ft below Oak Park Ave; Minor: Oak Park Ave floods; Res Bldg (ST00212_B447) floods; Major: Multiple residentail bldgs flood along Oak Park Ave,760.86,769,770,771,772
INSTALLED,86HWC7CQ+6RM6,Stickney Creek; ST00228A,Stickney Creek; ST00228A,Stickney Creek; ST00228A,Stickney Creek (ST00228A),Stickney Creek @ CSX ; Culverted Stream; ST00228A; STPA01,86HWC7CQ+6RM6,2.91,#N/A,#N/A,4.91,Action: Floodplain activation and flow routed to WC; Major: CSX Floods,767.09,770,#N/A,#N/A,772
INSTALLED,86HWC972+VVWV,West Creek - Granger Road,West Creek - Granger Road,West Creek - Granger Road,West Creek1,West Creek @ Granger Road; Crossing; WC00011; WCIN13,86HWC972+VVWV,#N/A,#N/A,#N/A,#N/A,Listed as West Creek - Granger Rd,583.89,#N/A,#N/A,#N/A,#N/A
INSTALLED,86HW98M3+WX6Q, West Creek Tributary ,West Creek Trib @ West Creek Res,West Creek Trib @ West Creek Res,West Creek2 98M3+WX,West Creek @ West Creek Reservation; Crossing; WC00267; NA,86HW98M3+WX6Q,1.95,#N/A,#N/A,#N/A,Action Stage: Floodplain Activation ,906.73,908.68,#N/A,#N/A,#N/A
INSTALLED,86HW98M3+VF7Q,West Creek - Gorge Overlook ,West creek 2,West creek 2,West Creek3,West Creek @ Gorge Overlook; Stream; LSS; NA ,86HW98M3+VF7Q,#N/A,#N/A,#N/A,#N/A,,915.58,#N/A,#N/A,#N/A,#N/A
INSTALLED,86HWC9QQ+83HF, Calvary Cemetery; MC00034 ,Calvary Cemetery; MC00034 , Calvary Cemetery; MC00034 ,Calvary Cemetery (MC00034),"Mill Creek @ Calvary Cemetery, Crosssing; MC00033; MCGH13",86HWC9QQ+83HF,14.06,#N/A,15.06,#N/A,Action: 1-ft below NS Railroad tracks; Moderate: NS Railroad floods,784.94,799,#N/A,800,#N/A
INSTALLED,86HWC9HW+699W, Wolf Creek at Garfield Reservation,Wolf Creek @ Garfield Reservation,Wolf Creek @ Garfield Reservation,Wolf Creek @ Garfield Reservation,Mill Creek @ Iron Springs Loop Trail; Crossing; MC00242; NA,86HWC9HW+699W,#N/A,#N/A,#N/A,#N/A,0,820.60,#N/A,#N/A,#N/A,#N/A
INSTALLED,86HWCC93+XP54, Marymount and E126; MC00056,Marymount and E126; MC00056, Marymount and E126; MC00056,Marymount and E126 (MC00056),Mill Creek @ Marymount and E126; Culverted Stream ; MC00056; MCGH11,86HWCC93+XP54,9.04,#N/A,#N/A,13.04,"Action: Culverted Stream Surcharges; Major: E.126th floods, & Marymount Hospital facilities floods",868.96,878,#N/A,#N/A,882
INSTALLED,86HWCCF8+H6RM,Mill Creek; MC00094 ,Mill Creek; MC00094 ,Mill Creek; MC00094 ,Mill Creek (MC00094),Mill Creek @ McCracken Road; Crossing; MC00094; NA,86HWCCF8+H6RM,8.12,#N/A,8.62,10.12,Action: Crossing surcharges; Moderate: McCracken Road floods; Major: Several Bldgs flood & Broadway Ave Floods,834.88,843,#N/A,843.5,845
INSTALLED,86HWMH9G+MCW3, Chagrin River @ Lake Shore Blvd ,Chagrin River @ Lake Shore Blvd,Chagrin River @ Lake Shore Blvd,"Lake Shore Boulevard,MH9G+M9",Chagrin River Mainstem @ Lake Shore Boulevard; Crossing; CM00005; NA,86HWMH9G+MCW3,#N/A,#N/A,#N/A,#N/A,0,566.54,#N/A,#N/A,#N/A,#N/A
INSTALLED,86HWJH3V+8V49, Chagrin River @ Eagle Mills Rd,Chagrin River @ Eagle Mills Rd, Chagrin River @ Eagle Mills Rd,"Eagle Mills Road,JH3V+8W",Chagrin River Mainstem @ Eagle Mills Road; Crossing; CM00051; NA,86HWJH3V+8V49,#N/A,#N/A,#N/A,#N/A,#N/A,622.64,#N/A,#N/A,#N/A,#N/A
INSTALLED,86HWHHQW+RXG8, Chagrin River @ Pleasant Valley Rd,Chagrin River @ Pleasant Valley Rd, Chagrin River @ Pleasant Valley Rd,"Pleasant Valley Road,HHQW+RX",Chagrin River Mainstem @ Pleasant Valley Road; Crossing; CM00063; NA,86HWHHQW+RXG8,#N/A,#N/A,#N/A,#N/A,0,646.26,#N/A,#N/A,#N/A,#N/A
INSTALLED,86HWHH2M+2W3J, Chagrin River @ Chagrin River Rd,Chagrin River Road,Chagrin River Road,"Chagrin River Road,HH2M+3V",Chagrin River Mainstem @ Chagrin River Road; Crossing; CM00090; NA,86HWHH2M+2W3J,#N/A,#N/A,#N/A,#N/A,0,684.19,#N/A,#N/A,#N/A,#N/A
INSTALLED,86HWGHHP+RMWG, Chagrin River @ Mayfield Rd,Chagrin River @ Mayfield Rd, Chagrin River @ Mayfield Rd,,Chagrin River Mainstem @ Mayfield Rd; Crossing; CM00149; NA,86HWGHHP+RMWG,#N/A,#N/A,#N/A,#N/A,0,689.49,#N/A,#N/A,#N/A,#N/A
INSTALLED,86HWMHC9+6HFC, Chagrin River @ West Island Drive ,Chagrin River @ West Island Drive , Chagrin River @ West Island Drive ,"West Island Drive,MHC9+6H",Chagrin River Mainstem @ West Island Drive; Stream; CD00002; NA,86HWMHC9+6HFC,#N/A,#N/A,#N/A,#N/A,0,562.73,#N/A,#N/A,#N/A,#N/A
INSTALLED,86HWMH79+G9VM, Corporation Creek @ Lake Shore Blvd,Corporation Creek @ Lake Shore Blvd,Corporation Creek @ Lake Shore Blvd,"Lake Shore Boulevard,MH79+F9",Corporation Ditch @ Lake Shore Boulevard; Crossing; CD00007; NA,86HWMH79+G9VM,#N/A,#N/A,#N/A,#N/A,0,573.16,#N/A,#N/A,#N/A,#N/A
INSTALLED,86HWJJHR+X7M3, East Branch @ Historic Kirtland,East Branch @ Historic Kirtland, East Branch @ Historic Kirtland,Kirtland Historic Center,Chagrin River East Branch @ Kirtland Chardon Road; Crossing; EB00045; NA,86HWJJHR+X7M3,#N/A,#N/A,#N/A,#N/A,#N/A,636.19,#N/A,#N/A,#N/A,#N/A
INSTALLED,86HWHH6M+8XXF, Dinger's Marsh,Dinger's Marsh,Dinger's Marsh,"Dinger's Marsh,HH6M+7X",Upper 40 Foster's Run @ Dinger's Marsh; Culverted Stream; UF00005; NA,86HWHH6M+8XXF,#N/A,#N/A,#N/A,#N/A,,676.38,#N/A,#N/A,#N/A,#N/A
INSTALLED,86HWGGPW+7X5W, Beechers - Progressive; BE00040,Beechers - Progressive; BE00040, Beechers - Progressive; BE00040,Beechers - Progressive (BE00040),Beechers Brook @ Progressive; Crossing; BE00040; BEMF01,86HWGGPW+7X5W,10.38,12.94,13.38,14.38,Action: Crossing surcharges; Progressive Dr floods; Non-Res bldgs flood;  Several Non-Res bldgs flood,1019.62,1030,1032.56,1033,1034
INSTALLED,86HWGGMR+GX5M,Beechers - Woodlane Dr Outlet; BE00079,Beechers - Woodlane Dr Outlet; BE00079,Beechers - Woodlane Dr Outlet; BE00079,Beechers - Woodlane Dr Outlet (BE00079),Beechers Brook @ Woodlane Dr ; Outlet; BE00079; BEMF01,86HWGGMR+GX5M,2.79,3.79,5.19,6.19,Action: 1-ft below Woodlane Dr; Minor: Woodlane Dr floods; Moderate:  Res homes begin to flood; Major: Several res homes flood,1036.81,1039.6,1040.6,1042,1043
INSTALLED,86HWGGMR+CM6P, Beechers - Basin at Mayfield HS; BE00081,Beechers - Basin at Mayfield HS; BE00081, Beechers - Basin at Mayfield HS; BE00081,Beechers - Basin at Mayfield HS (BE00081),Beechers Brook @ Basin at Mayfield HS; Basin; BE00081; BEMF01,86HWGGMR+CM6P,2.95,3.92,#N/A,4.92,Action: 1-ft below Emergency Spillway; Minor: Emergency Spillway Activation; Major: Embankment overtopped,1038.68,1041.63,1042.6,#N/A,1043.6
INSTALLED,86HWFMQ6+X3M8,Chagrin River @ Chillicothe Rd,Chagrin River @ Chillicothe Rd,Chagrin River @ Chillicothe Rd,"Chillicothe Road,FMQ6+X4",Chagrin River Silver Creek @ Chillicothe Road; Crossing; AU00033; NA,86HWFMQ6+X3M8,#N/A,#N/A,#N/A,#N/A,0,1019.69,#N/A,#N/A,#N/A,#N/A
INSTALLED,86HWFM96+R2PR,Silver Creek @ Chillicothe Rd,Silver Creek @ Chillicothe Rd,Silver Creek @ Chillicothe Rd,"Chillicothe Road,FM95+RX",Chagrin River Mainstem @ Chillicothe Road;  Crossing; SV00003; NA,86HWFM96+R2PR,#N/A,#N/A,#N/A,#N/A,0,1009.74,#N/A,#N/A,#N/A,#N/A
INSTALLED,86HWCMJ4+H7GQ,McFarland Creek Trib @ Bell St,McFarland Creek Trib @ Bell St,McFarland Creek Trib @ Bell St,"Bell Street,CMP6+49",McFarland Creek @ Bell Street; Crossing ; LSS; NA,86HWCMJ4+H7GQ,#N/A,#N/A,#N/A,#N/A,#N/A,1151.67,#N/A,#N/A,#N/A,#N/A
INSTALLED,86HW8MX7+27FV,Spring Creek @ Crackel Rd,Spring Creek @ Crackel Rd,Spring Creek @ Crackel Rd,"Crackel Road,8MV5+J2",Chagrin River Spring Creek @ Crackel Road; Crossing; SM00003; NA,86HW8MX7+27FV,#N/A,#N/A,#N/A,#N/A,0,1031.96,#N/A,#N/A,#N/A,#N/A
INSTALLED,86HWCJF7+FPFQ,Chagrin River Trib @ Chagrin Rd,Chagrin River Trib @ Chagrin Rd,Chagrin River Trib @ Chagrin Rd,Not Provided ,Chagrin River Trib @ Chagrin Road; Stream; LSS; NA,86HWCJF7+FPFQ,#N/A,#N/A,#N/A,#N/A,#N/A,940.12,#N/A,#N/A,#N/A,#N/A
INSTALLED,86HW9JP6+CPXG,Aurora Branch @ Hawksmoor,Aurora Branch @ Hawksmoor,Aurora Branch @ Hawksmoor,Not Provided ,Aurora Branch @ Hawksmoor Way; Crossing; AB00319; NA,86HW9JP6+CPXG,#N/A,#N/A,#N/A,#N/A,#N/A,884.35,#N/A,#N/A,#N/A,#N/A
INSTALLED,86HW9J6J+RV2G,Aurora Branch @ Pettibone Rd,Aurora Branch @ Pettibone Rd,Aurora Branch @ Pettibone Rd,Not Provided ,Aurora Branch @ Pettibone Road; Crossing; AB00379; NA,86HW9J6J+RV2G,#N/A,#N/A,#N/A,#N/A,#N/A,939.7,#N/A,#N/A,#N/A,#N/A
INSTALLED,86HW8M7C+7G9W,Aurora Branch @ Trails End ,Aurora Branch @ Trails End ,Aurora Branch @ Trails End ,"Trails End,8M8C+W8",Upper Trib to Aurora Branch @ Trails End; Crossing; AB00393; NA,86HW8M7C+7G9W,#N/A,#N/A,#N/A,#N/A,,1067.72,#N/A,#N/A,#N/A,#N/A
INSTALLED,86HWFCHH+22WM,S. Woodland Road; DB00090 ,S. Woodland Road; DB00090 ,S. Woodland Road; DB00090 ,S. Woodland Road (DB00090),Doan Brook @ S. Woodland Road; Crossing; DB00090; DBSH03,86HWFCHH+22WM,4.78,#N/A,5.78,#N/A,Action: 1-ft below S. Woodland Rd; Moderate: S. Woodland Rd floods,928.22,933,#N/A,934,#N/A
INSTALLED,86HWFCPG+G33G,Nature Center at Shaker Lakes,Nature Center at Shaker Lakes; DB00154,Nature Center at Shaker Lakes; DB00154,Nature Center at Shaker Lakes (DB00154),Doan Brook @ Nature Center at Shaker Lakes; Crossing; DB00154; DBSH04,86HWFCPG+G33G,7.25,8.25,15.25,#N/A,Action: 1-ft below boardwalk; Minor: Boardwalk floods; Moderate: N. Woodland Rd floods; ,900.75,908,909,916,#N/A
INSTALLED,86HWFCMP+H24M,Lee Road; DB00054,Lee Road; DB00054,Lee Road; DB00054,Lee Road (DB00054),Doan Brook @ Lee Road; Crossing; DB00054; DBSH04,86HWFCMP+H24M,9.55,#N/A,10.55,#N/A,Action: 1-ft below Lee Road; Moderate: Lee Road Floods; ,936.45,946,#N/A,947,#N/A
,,,,,,,,,,,,,,,,,
